,ecephys_unit_id,c50_dg,area_rf,fano_dg,fano_dm,fano_fl,fano_rf,f1_f0_dg,g_dsi_dg,g_osi_dg,width_rf,height_rf,azimuth_rf,mod_idx_dg,p_value_rf,pref_tf_dg,run_mod_dg,run_mod_dm,run_mod_fl,run_mod_rf,pref_dir_dm,pref_ori_dg,run_pval_dg,run_pval_dm,run_pval_fl,run_pval_rf,elevation_rf,on_screen_rf,pref_speed_dm,firing_rate_dg,firing_rate_dm,firing_rate_fl,firing_rate_rf,on_off_ratio_fl,time_to_peak_dm,time_to_peak_fl,time_to_peak_rf,pref_tf_multi_dg,sustained_idx_fl,pref_dir_multi_dm,pref_ori_multi_dg,pref_speed_multi_dm,lifetime_sparseness_dg,lifetime_sparseness_dm,lifetime_sparseness_fl,lifetime_sparseness_rf
30076,950914462,0.14163137254901964,300.0,14.87528916929548,6.1363295880149815,4.345344352617081,5.377777777777778,0.3847632808787369,,,1477.226131402324,591.9825089881112,10.0,0.3217961776237969,0.0,2.0,0.21330860190122888,,,0.0,135.0,135.0,0.06982056425536083,,,1.0,-10.0,False,0.001,15.538725964595445,11.454767250617516,6.101558553886177,9.233600886395113,,0.7335,0.0665,0.0945,False,0.1214859437751004,False,False,False,0.03801839847200953,0.04443131912039682,0.0064246340999809535,0.1668823550149849
30080,950914498,0.5523607843137256,200.0,3.841863173216885,2.2049751243781097,1.5466666666666669,0.8121212121212122,1.0333438171026716,,,791.5072638445723,128.52083707447136,55.0,0.7761137131689556,0.49,2.0,0.5506912442396313,0.123076923076923,,0.3076923076923077,135.0,135.0,0.003349171085412373,0.8145294822320522,,0.2187577882684554,50.0,False,0.001,1.0136126228246225,2.8419933548668657,0.4529541284544322,0.6513191932690533,,0.5045,0.0075,0.2225,False,0.03614457831325301,False,False,False,0.160907233585815,0.07327876140405133,0.006896551724137946,0.3509064249533457
30083,950914565,0.06034117647058825,300.0,5.6075117370892,3.605673758865248,0.92,1.3666666666666667,0.7327079772714074,,,90.9374636205559,4303.630060391728,13.333,1.2026687690820692,0.006,2.0,0.798448359463391,0.6934046345811051,,0.9393939393939392,180.0,45.0,4.4153536580997314e-09,0.00018822486695364,,0.00663858521398363,3.333000000000005,False,0.001,2.085018947827842,3.374867108904404,0.2397992444758759,0.7456179316884785,,0.2205,0.0545,0.0035,False,0.024096385542168672,False,False,False,0.16301672477450133,0.0999251098034198,0.2,0.4215883894376134
30084,950914549,1.0015960784313729,200.0,6.700736067297583,6.144444444444446,3.0033333333333325,2.3476190476190477,0.5696389083961154,,,2357.9572218484823,1749.6750363311935,85.0,0.1861197682799608,0.7090000000000001,2.0,0.23473911560759345,-0.8142857142857143,,,225.0,0.0,0.11314866700938266,0.01903826478270461,,,50.0,False,0.02,8.394535241441199,2.6381287747237168,2.451281165753398,3.4331319766420973,,0.0655,0.0385,0.0515,False,0.11244979919678713,False,False,False,0.02797007380845289,0.0700735069050577,0.0902527075812274,0.12881232924488353
30086,950914508,,1300.0,12.799058130978661,4.3034013605442185,1.904561403508772,1.7122112211221123,0.6529201323518175,,,18.352612306211334,21.05298841229455,76.154,0.19214006631470346,0.0,2.0,-0.17463617463617453,,,,315.0,135.0,0.3406481733665129,,,,3.845999999999997,True,0.01,3.6887941832839055,2.4383011169596407,0.9591969779035036,6.629420610277267,,0.2655,0.0005,0.1035,False,0.07630522088353414,False,False,False,0.20881872650619307,0.3720329304961259,0.0061538461538461755,0.5143746098792938
30088,950914576,0.0945686274509804,500.0,4.761235011990407,6.061584454409567,1.944242424242425,1.2000000000000004,0.2732676508797121,,,39.28207330263668,59.276051049508325,52.0,1.853790071291024,0.002,2.0,0.3362996521317045,0.6017441860465116,,0.7846153846153847,315.0,45.0,1.573921433736507e-05,0.066256670629244,,0.11384143039289382,-4.000000000000004,True,0.005,5.006379451220956,7.072688008134588,0.4263097679571127,1.0482510921973316,,0.1685,0.0015,0.0325,False,0.04417670682730923,False,False,False,0.4097506323889545,0.14628722633798005,0.2465753424657535,0.34595951594272195
30091,950914584,0.03467058823529412,600.0,3.6231019708654655,2.433333333333333,1.1923809523809523,6.622222222222222,0.6426138405772276,,,95.11016027003366,43.30958769445553,35.0,0.8339857323796094,0.14300000000000002,2.0,-0.9181508147025388,-1.0,,,45.0,90.0,2.6388417102421638e-17,0.0017228281416550556,,,-20.0,True,0.001,1.7276982699351706,1.1989659465844589,0.29308796547051497,0.2192993916730819,,0.5965,0.0025,0.0045000000000000005,False,0.028112449799196783,False,False,False,0.1182679014609928,0.1070148784576697,0.1384615384615384,0.6800356506238858
30093,950914610,0.09884705882352944,700.0,8.303543153796236,5.699057412167952,2.3220512820512815,4.97536231884058,0.33224435261956353,,,45.76370413608057,74.83491286133228,27.143,0.1231241499616151,0.0,2.0,0.3392055841781618,,,0.21025641025641026,0.0,135.0,3.0019900776638763e-07,,,0.6512575153568703,0.0,True,0.01,19.018017977481932,18.043024573263434,45.56185645041642,8.832282999633373,,0.0785,0.0575,0.1325,False,0.19457831325301206,False,False,False,0.06845960422378969,0.03413753825942327,0.038635677633564784,0.17160879987565078
30094,950914601,0.2400352941176471,700.0,5.060611986239364,4.153535353535354,1.9107246376811595,2.3649122807017537,0.3803379533125771,,,34.231614136714846,364.7427972902889,14.286,0.3817893097106877,0.0,2.0,0.08115639150121919,0.5428571428571428,,0.17948717948717946,315.0,0.0,0.5148687969282246,0.015303031132559266,,0.8884612949596898,7.143000000000002,False,0.005,5.526522770828328,4.832196087749487,0.9325526174061841,1.303734883496472,,0.2355,0.1805,0.0275,False,0.046184738955823285,False,False,False,0.22254265858874006,0.3206778759938425,0.1797919762258544,0.3328898650887933
30095,950915708,0.2400352941176471,,0.9725490196078432,2.707692307692308,,0.9333333333333336,1.6364125659125561,,,,,,1.021356091415142,,2.0,0.28571428571428564,,,-1.0,0.0,135.0,0.15304219097873348,,,0.3370490579535843,,False,0.01,0.1828281540072921,0.6802214208736745,0.0,0.009868472625288685,,0.2125,0.0005,0.1755,False,,False,False,False,0.3491253644314869,0.4177614520311149,,0.9669421487603304
