id,waveform_PT_ratio,waveform_amplitude,amplitude_cutoff,cumulative_drift,d_prime,waveform_duration,ecephys_channel_id,firing_rate,waveform_halfwidth,isi_violations,isolation_distance,L_ratio,max_drift,nn_hit_rate,nn_miss_rate,presence_ratio,waveform_recovery_slope,waveform_repolarization_slope,silhouette_score,snr,waveform_spread,waveform_velocity_above,waveform_velocity_below,ecephys_probe_id,local_index,probe_horizontal_position,probe_vertical_position,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,left_right_ccf_coordinate,ecephys_structure_id,ecephys_structure_acronym,ecephys_session_id,lfp_sampling_rate,name,phase,sampling_rate,has_lfp_data,date_of_acquisition,published_at,specimen_id,session_type,age_in_days,sex,genotype
951851547,0.653766919180974,297.607635,0.000621370609781088,130.68,5.06492176520292,0.192294807370184,850170494,7.49494909448832,0.137353433835846,0.0573107555516507,47.887123189258794,0.0228678302802523,46.99,0.945440956651719,0.00041867280720117204,0.99,-0.317733704726622,1.07824936677745,0.122091261268363,3.70045615967709,70.0,0.0686767169179227,-0.206030150753769,769322802,44,43,460,7541,3271,7206,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951851557,0.386431182532794,138.823815,0.0498131978788104,167.93,4.34661271923425,0.247236180904523,850170494,28.7093838120114,0.15108877721942998,0.0115340163308709,103.909879118964,0.00130683110948344,34.41,0.992666666666667,0.014919941775837,0.99,-0.0983424893405817,0.6175592922726639,0.105026321048201,2.64926227060675,70.0,0.274706867671692,0.0,769322802,44,43,460,7541,3271,7206,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951851661,0.507749180481121,129.14713500000002,0.0203399528994747,217.88,3.6614279418006497,0.219765494137353,850170506,30.434929864829,0.10988274706867697,0.0238795260946256,62.1965972760962,0.0351922690619501,31.66,0.864666666666667,0.0160208270751978,0.99,-0.142192448107215,0.5201029404854771,0.0427252178225751,2.24178352486396,70.0,0.412060301507538,-0.5101698971045711,769322802,50,59,520,7527,3219,7217,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951851709,0.588997286431519,160.717245,0.028911684358308,115.2,4.87329928178252,0.302177554438861,850170514,39.702312653766896,0.192294807370184,0.00761696982751502,88.2714130795636,0.0032303743793896107,24.95,0.958,0.00234441602728048,0.99,-0.13808924830503502,0.6540347851647249,0.157005360946829,3.00042739185987,60.0,0.34338358458961504,0.0,769322802,54,59,560,7517,3184,7224,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951851731,0.4095870672881021,178.858485,0.000444507592678939,189.63,5.26732787317474,0.288442211055276,850170524,47.135418565757895,0.15108877721942998,0.0166389694408619,108.13388454593999,0.00013814791300009098,31.37,0.997333333333333,0.00198560436832961,0.99,-0.137556723890751,0.771739465804798,0.15932017507999302,2.4724552469159,80.0,0.8241206030150748,0.0,769322802,59,27,600,7505,3141,7232,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951851772,0.547787932288666,387.317775,0.000144253360168085,205.8,5.2208043961441515,0.23350083752093806,850170524,38.1046971059193,0.123618090452261,0.0021391732555170397,101.75009811570601,0.00109725016825613,41.48,0.994666666666667,0.00118323191345504,0.99,-0.3905954193835221,1.7402921975901595,0.11331114271429905,4.937647829733081,50.0,0.0,0.0,769322802,59,27,600,7505,3141,7232,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951851758,0.525541959234844,126.9372,0.0154543566446551,368.98,4.08511350316807,0.206030150753769,850170520,1.07396951565622,0.10988274706867697,0.0328375445364954,53.153463251253605,0.00106674486791388,29.72,0.743589743589744,0.00020078305391025,0.97,-0.129126525645436,0.544691062824289,0.0485553437932001,1.7494735718998102,80.0,-0.206030150753768,-0.6867671691792301,769322802,57,11,580,7510,3158,7229,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951851798,0.72637139820805,161.366985,0.000248437328453747,226.17,4.260864721847759,0.1785594639866,850170526,18.7925465558998,0.10988274706867697,0.00825807284167137,61.63884774802261,0.0086441445784094,31.88,0.960666666666667,0.000716931533038595,0.99,-0.21594124205098605,0.659020400959099,0.088347653631492,2.99571687734361,60.0,-0.206030150753768,-0.34338358458961504,769322802,60,43,620,7501,3124,7235,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951851829,0.318856607297172,288.4089,0.0216047512578571,130.68,2.8158815417121,0.23350083752093806,850170528,5.68947173880242,0.10988274706867697,0.0573353148106569,46.6996443161058,0.0114877935244266,41.92,0.7736842105263159,0.0015970098538905901,0.95,-0.169109194999543,1.11017498816548,0.148256245725925,3.4041470075775497,50.0,0.0,0.0,769322802,61,11,620,7499,3115,7236,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951851850,0.6925913780185581,159.12858,0.00488701401582931,169.6,3.74817190460772,0.260971524288107,850170532,39.2378824793262,0.15108877721942998,0.0055597069176054,99.38811922291107,0.0011044012898596802,29.56,0.991333333333333,0.0032419687592101397,0.99,-0.14176489281367002,0.586257415819496,0.10068393512445,2.17447963955326,50.0,0.0,0.0686767169179227,769322802,63,27,640,7494,3098,7238,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951851864,0.585156011763973,208.16172,0.0031168636261456307,114.16,3.50452842974573,0.315912897822446,850170532,5.324071497118861,0.219765494137353,0.0414217572390555,42.2859085665522,0.0176030874960943,25.52,0.795880149812734,0.00203624516391774,0.98,-0.116589440274273,0.620786905142462,0.0892547355439229,2.14043054938557,50.0,0.34338358458961504,-0.6867671691792301,769322802,63,27,640,7494,3098,7238,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951851873,0.527983129545313,349.802505,0.00106062783638014,133.91,5.14733358495755,0.260971524288107,850170536,65.7996304128805,0.15108877721942998,0.0142342715376275,117.00905826385201,0.00281988386933327,39.27,0.986,0.010062893081761,0.99,-0.296420714106361,1.54712146713569,0.10356561991549,4.108749009915,40.0,0.0,0.0,769322802,65,11,660,7490,3081,7241,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
